id_master_country;date_in;date_out;population;pib
un716;1995-01-01;1995-12-31;11684693;8382136379.5501
un724;1995-01-01;1995-12-31;39426834;759839630792.874
un728;1995-01-01;1995-12-31;6166715;9225474160.65027
un729;1995-01-01;1995-12-31;23974432;35680422784.1371
un732;1995-01-01;1995-12-31;259049;
un740;1995-01-01;1995-12-31;435920;2401556970.18186
un748;1995-01-01;1995-12-31;963591;3634274575.30844
un752;1995-01-01;1995-12-31;8826949;218236864932.08
un756;1995-01-01;1995-12-31;7018702;221305073825.97
un760;1995-01-01;1995-12-31;14171130;55517646075.4385
un762;1995-01-01;1995-12-31;5775404;6340714869.22016
un764;1995-01-01;1995-12-31;59650157;342071253428.44
un768;1995-01-01;1995-12-31;4085492;4191997359.66758
un772;1995-01-01;1995-12-31;1520;
un776;1995-01-01;1995-12-31;95907;430659085.713543
un780;1995-01-01;1995-12-31;1261443;10181305525.1732
un784;1995-01-01;1995-12-31;2348539;68910011037.2666
un788;1995-01-01;1995-12-31;8935523;39717928041.0278
un792;1995-01-01;1995-12-31;58864649;360546189282.718
un795;1995-01-01;1995-12-31;4188010;12125990609.8659
un796;1995-01-01;1995-12-31;15333;340162113.074464
un798;1995-01-01;1995-12-31;9227;32627880.2823331
un800;1995-01-01;1995-12-31;20831075;15730826839.8855
un804;1995-01-01;1995-12-31;51121722;199862384184.192
un807;1995-01-01;1995-12-31;1963484;12108088481.3274
un818;1995-01-01;1995-12-31;62063810;244228460642.441
un826;1995-01-01;1995-12-31;57997210;1433459868603.31
un830;1995-01-01;1995-12-31;141934;
un831;1995-01-01;1995-12-31;62668;2327397495.89193
un832;1995-01-01;1995-12-31;86297;
un833;1995-01-01;1995-12-31;72183;1353714832.41001
un834;1995-01-01;1995-12-31;29943732;23775968795.647
un840;1995-01-01;1995-12-31;266323717;9335521489590.53
un850;1995-01-01;1995-12-31;107018;
un854;1995-01-01;1995-12-31;10692138;9515007287.62382
un858;1995-01-01;1995-12-31;3223401;27383019687.0159
un860;1995-01-01;1995-12-31;22919357;33484791710.6646
un862;1995-01-01;1995-12-31;22034909;218925845956.372
un876;1995-01-01;1995-12-31;14146;37457324.4153302
un882;1995-01-01;1995-12-31;168257;593856411.123268
un887;1995-01-01;1995-12-31;15148172;29851010316.4353
un894;1995-01-01;1995-12-31;8919456;9078148635.44873
un004;2000-01-01;2000-12-31;22856302;15174524666.205
un008;2000-01-01;2000-12-31;3071856;12887082139.09
un012;2000-01-01;2000-12-31;30533827;155687512631.915
un016;2000-01-01;2000-12-31;57625;440857130.132628
un020;2000-01-01;2000-12-31;64634;1956208834.0541
un024;2000-01-01;2000-12-31;13926373;34072903027.9384
un028;2000-01-01;2000-12-31;77656;989239953.030226
un031;2000-01-01;2000-12-31;8110723;20545841428.502
un032;2000-01-01;2000-12-31;36930709;390407953737.304
un036;2000-01-01;2000-12-31;19164351;560394647615.596
un040;2000-01-01;2000-12-31;8004712;256218861353.477
un044;2000-01-01;2000-12-31;297651;6765133445.78696
un048;2000-01-01;2000-12-31;638193;14050024943.2515
un050;2000-01-01;2000-12-31;129592275;139368014205.049
un051;2000-01-01;2000-12-31;3076098;6503046122.50116
un052;2000-01-01;2000-12-31;267511;4007882689.13279
un056;2000-01-01;2000-12-31;10175684;304662061912.46
un060;2000-01-01;2000-12-31;62834;3780578153.52888
un064;2000-01-01;2000-12-31;571262;1669292789.61194
un068;2000-01-01;2000-12-31;8307248;28200681797.2387
un070;2000-01-01;2000-12-31;3693698;21176517965.159
un072;2000-01-01;2000-12-31;1757925;17769082844.9777
un076;2000-01-01;2000-12-31;174425387;1405181550874.51
un084;2000-01-01;2000-12-31;250512;1639714556.84648
un090;2000-01-01;2000-12-31;408732;736544716.238653
un092;2000-01-01;2000-12-31;20499;881065771.457235
un096;2000-01-01;2000-12-31;327036;15704384675.9257
un100;2000-01-01;2000-12-31;8006158;55298643162.8661
un104;2000-01-01;2000-12-31;44957660;46506437419.8317
